#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,actual_battery_percentage,battery_ah_remaining,battery_capacity,battery_charge_kwh,battery_current,battery_discharge_kwh,battery_impedance,battery_max_voltage_today,battery_min_voltage_today,battery_minutes_remaining,battery_percentage,battery_power,battery_temperature,battery_voltage,cabin_humidity,cabin_sensor_battery,cabin_sensor_rssi,cabin_temperature,charging_ah_today,charging_status,device,discharging_ah_today,free_heap,junctek_load_status,junctek_voltage,lora_rx_count,max_charging_current_today,max_charging_power_today,method,mppt_battery_current,mppt_battery_percentage,mppt_battery_temperature,mppt_battery_voltage,mppt_controller_temperature,mppt_fault_code,mppt_has_faults,mppt_load_status,power_consumption_today_kwh,power_generation_today,power_generation_today_kwh,reboot_pending,renogy_voltage,safe_battery_percentage,solar_current,solar_power,solar_voltage,time,upload_attempt,upload_attempt_num,version,wifi_rssi
#datatype,double,double,double,double,double,double,double,double,double,long,double,double,double,double,long,long,long,double,long,string,string,long,long,long,double,long,double,long,string,double,long,long,double,long,string,boolean,boolean,double,long,double,string,double,double,double,long,double,dateTime:RFC3339,string,long,string,long
,,219.74,,537.89,1.1,0,40,14.7,12.5,768,99.88,0,15,14.1,75,89,-74,13.4,14,floating,Heltec LoRa V3,1,,,13.53,0,5.28,74,,2.29,100,,14.1,18,0,FALSE,,0,,0.02,none,14.1,99.76,1.44,34,23.5,2025-12-13T14:11:50.830459108Z,,,1.5.6,
,,219.74,,537.22,2,0,40,14.7,12.5,768,99.88,0,15,14.1,77,89,-81,13.1,14,floating,Heltec LoRa V3,1,,,14.68,0,5.28,74,,2.29,100,,14.1,18,0,FALSE,,0,,0.02,none,14.1,99.76,1.44,34,23.5,2025-12-13T13:55:28.594167326Z,,,1.5.6,
,,219.74,,536.3,2.7,0,740.7,14.7,12.5,768,99.88,0,15,14.7,77,89,-81,12.8,13,boost,Heltec LoRa V3,1,,,14.68,0,5.28,74,,2.92,100,,14.7,17,0,FALSE,,0,,0.02,none,14.7,99.76,1.95,45,23,2025-12-13T13:38:56.817900705Z,,,1.5.6,
,,219.74,,535.25,2.7,0,740.7,14.7,12.5,768,99.88,0,15,14.7,78,88,-79,12.4,13,boost,Heltec LoRa V3,1,,,14.68,0,5.28,74,,2.92,100,,14.7,17,0,FALSE,,0,,0.02,none,14.7,99.76,1.95,45,23,2025-12-13T13:22:39.144777213Z,,,1.5.6,
,,219.74,,534.21,3.1,0,428.5,14.7,12.5,768,99.88,0,15,14.7,79,88,-81,12,12,boost,Heltec LoRa V3,1,,,14.63,0,5.28,74,,3.11,100,,14.7,16,0,FALSE,,0,,0.02,none,14.7,99.76,2.09,48,22.9,2025-12-13T13:06:41.311920956Z,,,1.5.6,
,,219.74,,533.05,3,0,66.6,14.7,12.5,768,99.88,0,15,14.7,,,,,11,boost,Heltec LoRa V3,1,,,14.23,0,5.28,74,,3.45,100,,14.7,16,0,FALSE,,0,,0.02,none,14.7,99.76,2.32,53,22.8,2025-12-13T12:50:47.425802711Z,,,1.5.6,
,,219.74,,531.95,3,0,66.6,14.7,12.5,768,99.88,0,15,14.2,82,87,-81,10.9,10,mppt,Heltec LoRa V3,1,,,14.23,0,5.28,74,,3.3,100,,14.2,15,0,FALSE,,0,,0.01,none,14.2,99.76,2.16,49,22.6,2025-12-13T12:34:49.389148572Z,,,1.5.6,
,,219.74,,530.74,3.1,0,0,14.1,12.5,768,99.88,0,15,13.7,83,87,-80,10.3,8,mppt,Heltec LoRa V3,1,,,14.09,0,5.28,74,,2.76,100,,13.7,14,0,FALSE,,0,,0.01,none,13.7,99.76,1.68,39,23.1,2025-12-13T12:18:57.635499396Z,,,1.5.6,
,,219.74,,529.6,2.5,0,40,14.1,12.5,768,99.88,0,0,13.7,83,87,-81,9.8,8,mppt,Heltec LoRa V3,1,,,13.71,0,5.28,74,,2.76,100,,13.7,14,0,FALSE,,0,,0.01,none,13.7,99.76,1.68,39,23.1,2025-12-13T12:02:45.192746503Z,,,1.5.6,
